Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
19.4,-0.111316,0.701984,-0.127588,-1.497353,0.332318,-0.267337,-0.216959,0.115885,0.232298,1.163559,0.656637,0.110507,-0.738322,-1.014662,0.246342,1.311081,0.041657,-0.106323,0.531776,-1.453545,-0.312277,0.490363,0.873404,-0.240630,0.376600,0.248213,0.782327,-1.113222,208.39,0
35.7,-0.915810,0.876012,0.664266,-1.219075,0.847361,-1.002203,-0.086244,-0.293900,0.114420,0.818636,0.638414,0.349885,0.649948,0.478492,-0.626985,-0.717371,-0.469968,0.499326,-0.250116,2.335754,-0.819293,-1.098875,0.768474,1.421850,0.505693,0.835817,1.426345,-0.094027,29.13,0
61.0,0.033531,0.253237,-0.315592,0.723632,0.580780,2.321409,0.619968,-0.609403,-0.561798,-0.831581,0.952274,-0.566833,-0.070261,0.749303,-0.723463,-0.293658,-1.841286,-1.082479,-0.567736,0.415761,1.193493,-0.018467,0.261364,0.167969,1.084741,0.893355,0.273693,-1.010944,4.70,0
90.9,1.953101,-0.358876,1.593060,0.115119,-0.516269,-1.128448,-0.151031,1.423321,0.816374,0.688884,-2.375873,0.710964,0.555852,-0.549926,-0.627384,-0.002310,1.724876,-1.055101,-0.427805,1.361785,-0.446151,-0.364251,0.097776,-1.241289,0.219945,-1.209618,0.885198,0.003181,13.19,0
117.3,0.990620,0.591354,1.533546,0.712386,0.052071,-0.521650,-1.248180,0.195423,-0.191697,2.020267,-0.611025,0.320392,-1.569001,-0.395463,0.261148,0.823960,1.448102,-0.044148,-1.117245,0.457850,0.516987,0.491658,-0.700288,1.133384,0.087896,0.699825,1.274073,0.609272,3.94,0
124.2,1.195731,-0.512859,-1.726570,0.299423,0.229735,-0.608010,0.871086,0.607567,-0.994992,0.518218,-0.196105,-1.483025,0.452950,-0.045215,-0.745283,0.522946,0.488093,-0.577537,0.400352,1.015065,-0.712667,0.380890,0.002756,2.266010,-1.862303,0.695284,-0.306245,-0.100198,47.51,0
139.0,-0.282572,0.202492,-2.105028,2.002468,-0.166997,1.742906,-1.007112,0.292536,3.164942,-0.869729,-1.495300,-0.546510,0.472488,0.693340,1.290367,-0.257012,-1.602251,-0.435030,1.240223,0.465663,-1.956939,-0.035052,1.398168,2.126548,0.561687,0.309302,-1.240206,-0.843243,10.81,0
165.7,-1.151942,-0.777782,-1.156974,0.643409,-2.312281,-0.333278,0.449878,1.522013,0.071300,1.001284,-0.399004,-0.744404,-0.674393,1.527336,0.994221,0.487398,3.330269,-0.032341,0.620350,0.307592,-0.221886,2.316171,1.506605,-1.399480,-0.399846,0.428337,0.783183,-1.348447,51.00,0
185.8,0.329187,0.370054,0.992994,0.790796,-0.190716,1.349261,-0.136367,-0.660836,-0.520578,-0.584812,-2.165737,0.156326,0.249886,-0.362266,-0.713841,0.371804,1.716871,0.038255,-0.507634,-0.591447,-0.069756,-1.264766,-0.125261,0.061182,1.844679,0.943474,1.034029,-0.712949,104.57,0
190.7,-0.766409,1.999380,0.567374,-1.902728,0.552860,-0.407412,0.001376,0.465765,0.390533,-2.039151,-1.158320,0.772624,1.301204,1.903153,1.803168,-2.055537,0.769482,-1.916290,1.613601,0.253349,-1.141169,2.009901,0.643971,-1.891149,0.293468,-0.731140,0.111295,-0.465195,0.89,0
204.8,0.202002,-0.689702,0.647894,0.097050,-0.943768,1.762016,0.791615,-0.167107,-0.636675,-0.784363,1.230941,-0.146478,0.459438,-0.184457,0.616409,-0.115979,0.763854,-0.183211,0.829587,0.672384,-0.116610,-0.859777,-0.940120,-0.740737,-0.984488,0.865796,-0.046602,1.570101,26.63,0
227.1,-0.250493,0.286946,-0.459428,-0.768426,-0.758757,1.786684,-0.159646,-0.829930,-0.372898,0.954344,-0.684688,0.481847,0.727885,0.749118,1.399695,-0.550482,1.132733,-0.792854,-0.396540,1.196087,0.822375,0.002098,-1.191414,0.561660,-0.630373,-0.923885,-0.648134,0.246494,11.49,0
